Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Batch [0/1299] D_loss: -1.1061, G_loss: 0.7525
  Batch [10/1299] D_loss: -2.5723, G_loss: -0.8243
  Batch [20/1299] D_loss: -0.5402, G_loss: -0.0959
  Batch [30/1299] D_loss: -1.2608, G_loss: 0.9115
  Batch [40/1299] D_loss: -0.9829, G_loss: 0.1853
  Batch [50/1299] D_loss: -0.9424, G_loss: 0.1281
  Batch [60/1299] D_loss: -0.9947, G_loss: 0.0296
  Batch [70/1299] D_loss: -0.6987, G_loss: -0.0957
  Batch [80/1299] D_loss: -1.3579, G_loss: 0.2988
  Batch [90/1299] D_loss: -1.0730, G_loss: 0.0408
  Batch [100/1299] D_loss: -0.7377, G_loss: -0.1147
  Batch [110/1299] D_loss: -0.9461, G_loss: 0.2462
  Batch [120/1299] D_loss: -0.4068, G_loss: -0.2231
  Batch [130/1299] D_loss: -0.5155, G_loss: 0.5248
  Batch [140/1299] D_loss: -0.8763, G_loss: -0.0106
  Batch [150/1299] D_loss: -1.0000, G_loss: -0.1787
  Batch [160/1299] D_loss: -0.8393, G_loss: 0.6925
  Batch [170/1299] D_loss: -0.7791, G_loss: -0.0190
  Batch [180/1299] D_loss: -1.0525, G_loss: 0.5661
  Batch [190/1299] D_loss: -0.9748, G_loss: -0.2329
  Batch [200/1299] D_loss: -0.7841, G_loss: 0.5302
  Batch [210/1299] D_loss: -0.8828, G_loss: -0.1362
  Batch [220/1299] D_loss: -1.0613, G_loss: 0.4370
  Batch [230/1299] D_loss: -0.5932, G_loss: 0.1212
  Batch [240/1299] D_loss: -0.7554, G_loss: -0.0729
  Batch [250/1299] D_loss: -1.0600, G_loss: 0.5528
  Batch [260/1299] D_loss: -0.8524, G_loss: 0.3478
  Batch [270/1299] D_loss: -0.7092, G_loss: -0.1177
  Batch [280/1299] D_loss: -0.8787, G_loss: 0.1104
  Batch [290/1299] D_loss: -0.9227, G_loss: 0.2158
  Batch [300/1299] D_loss: -0.4977, G_loss: 0.0967
  Batch [310/1299] D_loss: -0.6068, G_loss: 0.0418
  Batch [320/1299] D_loss: -0.7014, G_loss: -0.0698
  Batch [330/1299] D_loss: -0.5867, G_loss: 0.1642
  Batch [340/1299] D_loss: -0.6315, G_loss: -0.0820
  Batch [350/1299] D_loss: -0.9629, G_loss: -0.0285
  Batch [360/1299] D_loss: -0.7202, G_loss: -0.1678
  Batch [370/1299] D_loss: -0.9414, G_loss: 0.3205
  Batch [380/1299] D_loss: -1.1436, G_loss: -0.4353
  Batch [390/1299] D_loss: -0.6966, G_loss: 0.4444
  Batch [400/1299] D_loss: -0.7441, G_loss: 0.2178
  Batch [410/1299] D_loss: -0.8955, G_loss: 0.3141
  Batch [420/1299] D_loss: -0.9128, G_loss: 0.2755
  Batch [430/1299] D_loss: -0.7341, G_loss: 0.4085
  Batch [440/1299] D_loss: -0.6909, G_loss: 0.4916
  Batch [450/1299] D_loss: -0.7952, G_loss: 0.2200
  Batch [460/1299] D_loss: -0.5741, G_loss: 0.1594
  Batch [470/1299] D_loss: -0.5205, G_loss: -0.1148
  Batch [480/1299] D_loss: -0.6626, G_loss: 0.3092
  Batch [490/1299] D_loss: -0.8036, G_loss: 0.2152
  Batch [500/1299] D_loss: -0.5149, G_loss: 0.0023
  Batch [510/1299] D_loss: -0.7673, G_loss: 0.3872
  Batch [520/1299] D_loss: -0.7958, G_loss: -0.1657
  Batch [530/1299] D_loss: -1.3450, G_loss: 0.3419
  Batch [540/1299] D_loss: -0.9138, G_loss: 0.5817
  Batch [550/1299] D_loss: -0.8021, G_loss: 0.6958
  Batch [560/1299] D_loss: -0.6271, G_loss: -0.1885
  Batch [570/1299] D_loss: -0.7362, G_loss: 0.7516
  Batch [580/1299] D_loss: -0.5979, G_loss: 0.0664
  Batch [590/1299] D_loss: -0.7088, G_loss: 0.3616
  Batch [600/1299] D_loss: -0.6890, G_loss: 0.3794
  Batch [610/1299] D_loss: -0.5672, G_loss: 0.1062
  Batch [620/1299] D_loss: -0.5152, G_loss: -0.1822
  Batch [630/1299] D_loss: -0.3012, G_loss: -0.0213
  Batch [640/1299] D_loss: -0.5492, G_loss: -0.0275
  Batch [650/1299] D_loss: -0.3094, G_loss: 0.2189
  Batch [660/1299] D_loss: -0.6101, G_loss: 0.0924
  Batch [670/1299] D_loss: -0.6232, G_loss: 0.1131
  Batch [680/1299] D_loss: -0.7097, G_loss: -0.0849
  Batch [690/1299] D_loss: -0.0811, G_loss: 0.2438
  Batch [700/1299] D_loss: -0.8784, G_loss: 0.3595
  Batch [710/1299] D_loss: -0.6069, G_loss: 0.3028
  Batch [720/1299] D_loss: -0.7377, G_loss: 0.3486
  Batch [730/1299] D_loss: -0.2607, G_loss: 0.0319
  Batch [740/1299] D_loss: -0.7623, G_loss: -0.0600
  Batch [750/1299] D_loss: -0.3017, G_loss: -0.1377
  Batch [760/1299] D_loss: -0.5659, G_loss: 0.3859
  Batch [770/1299] D_loss: -0.6648, G_loss: 0.2886
  Batch [780/1299] D_loss: -0.6811, G_loss: 0.2621
  Batch [790/1299] D_loss: -0.5741, G_loss: 0.4148
  Batch [800/1299] D_loss: -0.9991, G_loss: -0.3133
  Batch [810/1299] D_loss: -0.8089, G_loss: 0.2797
  Batch [820/1299] D_loss: -0.7024, G_loss: 0.0737
  Batch [830/1299] D_loss: -0.5430, G_loss: -0.1394
  Batch [840/1299] D_loss: -0.7824, G_loss: 0.2535
  Batch [850/1299] D_loss: -0.7588, G_loss: 0.1376
  Batch [860/1299] D_loss: -0.6055, G_loss: 0.4864
  Batch [870/1299] D_loss: -0.6733, G_loss: -0.2561
  Batch [880/1299] D_loss: -0.5387, G_loss: -0.0178
  Batch [890/1299] D_loss: -0.4901, G_loss: 0.1900
  Batch [900/1299] D_loss: -0.7769, G_loss: 0.3022
  Batch [910/1299] D_loss: -0.6647, G_loss: -0.3985
  Batch [920/1299] D_loss: -0.3006, G_loss: 0.0820
  Batch [930/1299] D_loss: -0.4666, G_loss: 0.8090
  Batch [940/1299] D_loss: -0.4529, G_loss: -0.1919
  Batch [950/1299] D_loss: -0.9448, G_loss: 0.4387
  Batch [960/1299] D_loss: -0.5503, G_loss: 0.1005
  Batch [970/1299] D_loss: -0.8692, G_loss: 0.5667
  Batch [980/1299] D_loss: -0.6605, G_loss: 0.2177
  Batch [990/1299] D_loss: -0.4758, G_loss: 0.1336
  Batch [1000/1299] D_loss: -0.3881, G_loss: -0.0501
