Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Batch [0/1299] D_loss: -2.1530, G_loss: 1.0039
  Batch [10/1299] D_loss: -1.1013, G_loss: 1.3387
  Batch [20/1299] D_loss: -0.8000, G_loss: -0.4299
  Batch [30/1299] D_loss: -0.7748, G_loss: 0.5165
  Batch [40/1299] D_loss: -0.9196, G_loss: 0.2435
  Batch [50/1299] D_loss: -0.7169, G_loss: -0.0796
  Batch [60/1299] D_loss: -0.6315, G_loss: -0.8938
  Batch [70/1299] D_loss: -0.6771, G_loss: 0.7272
  Batch [80/1299] D_loss: -0.4468, G_loss: 0.1805
  Batch [90/1299] D_loss: -0.5930, G_loss: 0.1250
  Batch [100/1299] D_loss: -0.5811, G_loss: 0.2477
  Batch [110/1299] D_loss: -0.4650, G_loss: -0.0494
  Batch [120/1299] D_loss: -0.4879, G_loss: -0.2679
  Batch [130/1299] D_loss: -0.7108, G_loss: 1.1650
  Batch [140/1299] D_loss: -0.5589, G_loss: 0.3260
  Batch [150/1299] D_loss: -0.6950, G_loss: -0.0551
  Batch [160/1299] D_loss: -0.9918, G_loss: 0.7957
  Batch [170/1299] D_loss: -0.6293, G_loss: -0.4811
  Batch [180/1299] D_loss: -0.5004, G_loss: 0.3053
  Batch [190/1299] D_loss: -0.8417, G_loss: -0.2077
  Batch [200/1299] D_loss: -0.3708, G_loss: 0.6127
  Batch [210/1299] D_loss: -0.5095, G_loss: 0.4521
  Batch [220/1299] D_loss: -0.4338, G_loss: -0.4179
  Batch [230/1299] D_loss: -0.4713, G_loss: -0.0161
  Batch [240/1299] D_loss: -0.4902, G_loss: 0.0723
  Batch [250/1299] D_loss: -0.3469, G_loss: -0.0536
  Batch [260/1299] D_loss: -0.3362, G_loss: 0.2841
  Batch [270/1299] D_loss: -0.3520, G_loss: 0.0635
  Batch [280/1299] D_loss: -0.6321, G_loss: 0.7749
  Batch [290/1299] D_loss: -0.5329, G_loss: 0.3226
  Batch [300/1299] D_loss: -0.4675, G_loss: 0.1277
  Batch [310/1299] D_loss: -0.4535, G_loss: -0.2956
  Batch [320/1299] D_loss: -0.3569, G_loss: 0.1879
  Batch [330/1299] D_loss: -0.4362, G_loss: -0.1084
  Batch [340/1299] D_loss: -0.5660, G_loss: 0.4711
  Batch [350/1299] D_loss: -0.6226, G_loss: -0.4987
  Batch [360/1299] D_loss: -0.3890, G_loss: 0.0478
  Batch [370/1299] D_loss: -0.3758, G_loss: 0.6487
  Batch [380/1299] D_loss: -0.3242, G_loss: 0.2783
  Batch [390/1299] D_loss: -0.5339, G_loss: 0.4782
  Batch [400/1299] D_loss: -0.5157, G_loss: -0.5234
  Batch [410/1299] D_loss: -0.3919, G_loss: 0.2776
  Batch [420/1299] D_loss: -0.4748, G_loss: 0.6215
  Batch [430/1299] D_loss: -0.3501, G_loss: -0.6328
  Batch [440/1299] D_loss: -0.4300, G_loss: 0.1642
  Batch [450/1299] D_loss: -0.3184, G_loss: 1.0690
  Batch [460/1299] D_loss: -0.7013, G_loss: 0.5425
  Batch [470/1299] D_loss: -0.4357, G_loss: 0.6146
  Batch [480/1299] D_loss: -0.5724, G_loss: -0.5717
  Batch [490/1299] D_loss: -0.7102, G_loss: 1.4663
  Batch [500/1299] D_loss: -0.2399, G_loss: -0.2526
  Batch [510/1299] D_loss: -0.1977, G_loss: 0.0715
  Batch [520/1299] D_loss: -0.1220, G_loss: -0.1799
  Batch [530/1299] D_loss: -0.8205, G_loss: 0.4084
  Batch [540/1299] D_loss: -0.4200, G_loss: 0.3603
  Batch [550/1299] D_loss: -0.4178, G_loss: 0.8165
  Batch [560/1299] D_loss: -0.2150, G_loss: -1.4775
  Batch [570/1299] D_loss: -0.2062, G_loss: 0.5493
  Batch [580/1299] D_loss: -0.1503, G_loss: -0.6082
  Batch [590/1299] D_loss: -0.4645, G_loss: 0.0427
  Batch [600/1299] D_loss: -0.4726, G_loss: -0.1664
  Batch [610/1299] D_loss: -0.4870, G_loss: 0.4388
  Batch [620/1299] D_loss: -0.3615, G_loss: -0.2013
  Batch [630/1299] D_loss: -0.0460, G_loss: 0.3620
  Batch [640/1299] D_loss: -0.0459, G_loss: -0.3761
  Batch [650/1299] D_loss: -0.2391, G_loss: 0.5488
  Batch [660/1299] D_loss: -0.5359, G_loss: 0.5262
  Batch [670/1299] D_loss: -0.2822, G_loss: -0.3110
  Batch [680/1299] D_loss: -0.3263, G_loss: 0.3425
  Batch [690/1299] D_loss: -0.2037, G_loss: -0.4076
  Batch [700/1299] D_loss: -0.1588, G_loss: 0.7415
  Batch [710/1299] D_loss: -0.2142, G_loss: -1.1294
  Batch [720/1299] D_loss: -0.2282, G_loss: 1.0074
  Batch [730/1299] D_loss: -0.2388, G_loss: 0.4027
  Batch [740/1299] D_loss: -0.2931, G_loss: 0.2425
  Batch [750/1299] D_loss: -0.1668, G_loss: 0.4995
  Batch [760/1299] D_loss: -0.3073, G_loss: -0.6229
  Batch [770/1299] D_loss: -0.1219, G_loss: 0.4300
  Batch [780/1299] D_loss: -0.2656, G_loss: -0.3501
  Batch [790/1299] D_loss: -0.2168, G_loss: 0.0380
  Batch [800/1299] D_loss: -0.2540, G_loss: 0.7338
  Batch [810/1299] D_loss: -0.1747, G_loss: -0.8900
  Batch [820/1299] D_loss: -0.2303, G_loss: 0.7297
  Batch [830/1299] D_loss: -0.2820, G_loss: -1.0540
  Batch [840/1299] D_loss: -0.2913, G_loss: 0.1814
  Batch [850/1299] D_loss: -0.4521, G_loss: -0.7083
  Batch [860/1299] D_loss: -0.4454, G_loss: -0.3126
  Batch [870/1299] D_loss: -0.6406, G_loss: 1.2756
  Batch [880/1299] D_loss: -0.2398, G_loss: -1.3593
  Batch [890/1299] D_loss: -0.1485, G_loss: -0.1404
  Batch [900/1299] D_loss: -0.2881, G_loss: -0.5008
  Batch [910/1299] D_loss: -0.2640, G_loss: -0.0510
  Batch [920/1299] D_loss: -0.1954, G_loss: 0.2411
  Batch [930/1299] D_loss: -0.4158, G_loss: -0.6518
  Batch [940/1299] D_loss: -0.0067, G_loss: 0.7881
  Batch [950/1299] D_loss: -0.2283, G_loss: -0.2699
  Batch [960/1299] D_loss: -0.3112, G_loss: 0.0742
  Batch [970/1299] D_loss: -0.4274, G_loss: 0.2945
  Batch [980/1299] D_loss: -0.3911, G_loss: 0.9566
  Batch [990/1299] D_loss: -0.1422, G_loss: 0.0393
  Batch [1000/1299] D_loss: -0.3558, G_loss: 0.6547
  Batch [1010/1299] D_loss: -0.1399, G_loss: -0.0699
  Batch [1020/1299] D_loss: -0.2861, G_loss: 0.0051
  Batch [1030/1299] D_loss: -0.3016, G_loss: 0.8310
  Batch [1040/1299] D_loss: -0.2198, G_loss: -0.7279
  Batch [1050/1299] D_loss: -0.3214, G_loss: -0.2135
  Batch [1060/1299] D_loss: -0.4818, G_loss: -0.4417
  Batch [1070/1299] D_loss: -0.2674, G_loss: 0.2500
  Batch [1080/1299] D_loss: -0.1309, G_loss: -0.2270
  Batch [1090/1299] D_loss: -0.3803, G_loss: 0.0103
  Batch [1100/1299] D_loss: -0.1131, G_loss: 0.0155
  Batch [1110/1299] D_loss: -0.1164, G_loss: 0.2706
  Batch [1120/1299] D_loss: -0.0783, G_loss: -0.3434
  Batch [1130/1299] D_loss: -0.0636, G_loss: 0.4150
  Batch [1140/1299] D_loss: -0.2160, G_loss: -0.3848
  Batch [1150/1299] D_loss: -0.6101, G_loss: 0.3194
  Batch [1160/1299] D_loss: -0.7136, G_loss: -0.5215
  Batch [1170/1299] D_loss: -0.0424, G_loss: 0.1639
  Batch [1180/1299] D_loss: -0.2754, G_loss: -0.0482
  Batch [1190/1299] D_loss: -0.1841, G_loss: 1.3052
  Batch [1200/1299] D_loss: -0.0703, G_loss: -1.4456
  Batch [1210/1299] D_loss: -0.0835, G_loss: 0.3501
  Batch [1220/1299] D_loss: -0.1575, G_loss: -0.1778
  Batch [1230/1299] D_loss: -0.3230, G_loss: 0.1940
  Batch [1240/1299] D_loss: -0.5011, G_loss: 0.3309
  Batch [1250/1299] D_loss: -0.3408, G_loss: -0.0107
  Batch [1260/1299] D_loss: -0.1463, G_loss: 0.3602
  Batch [1270/1299] D_loss: -0.3312, G_loss: 0.4009
  Batch [1280/1299] D_loss: -0.6828, G_loss: 1.5866
  Batch [1290/1299] D_loss: -0.0895, G_loss: -0.5517

Epoch 1 Summary:
  Average D_loss: -0.1617
  Average G_loss: 0.1167

Models saved at epoch 1:
Generator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/13_1_2025__normalized/saved_models/run_20250113_110435_dataset/generator_20250113_110435_dataset.pt
Discriminator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/13_1_2025__normalized/saved_models/run_20250113_110435_dataset/discriminator_20250113_110435_dataset.pt
[34m[1mwandb[0m: [33mWARNING[0m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")

Epoch [2/200]
  Batch [0/1299] D_loss: -0.1078, G_loss: 0.6912
  Batch [10/1299] D_loss: -0.4396, G_loss: -2.2453
  Batch [20/1299] D_loss: 0.0244, G_loss: 0.2321
  Batch [30/1299] D_loss: -0.2348, G_loss: 0.1138
  Batch [40/1299] D_loss: -0.5290, G_loss: -0.3889
  Batch [50/1299] D_loss: -0.4474, G_loss: 1.5766
  Batch [60/1299] D_loss: -0.5424, G_loss: -0.8275
  Batch [70/1299] D_loss: -0.3519, G_loss: 0.9207
  Batch [80/1299] D_loss: -0.1728, G_loss: -0.3454
  Batch [90/1299] D_loss: -0.2065, G_loss: 0.4363
  Batch [100/1299] D_loss: -0.3736, G_loss: 0.2292
  Batch [110/1299] D_loss: -0.4487, G_loss: 1.0730
  Batch [120/1299] D_loss: -0.1360, G_loss: -0.4332
  Batch [130/1299] D_loss: -0.1336, G_loss: 0.6712
  Batch [140/1299] D_loss: -0.3010, G_loss: -1.1593
  Batch [150/1299] D_loss: -0.2748, G_loss: 1.2287
  Batch [160/1299] D_loss: -0.2586, G_loss: -0.2263
  Batch [170/1299] D_loss: -0.2998, G_loss: 0.1787
  Batch [180/1299] D_loss: -0.1734, G_loss: 0.2751
  Batch [190/1299] D_loss: -0.3708, G_loss: -0.4301
  Batch [200/1299] D_loss: -0.2751, G_loss: 0.2641
  Batch [210/1299] D_loss: -0.5469, G_loss: 0.5328
  Batch [220/1299] D_loss: -0.3147, G_loss: -0.6203
  Batch [230/1299] D_loss: -0.1950, G_loss: 0.7041
  Batch [240/1299] D_loss: -0.4573, G_loss: -1.1316
  Batch [250/1299] D_loss: -0.3190, G_loss: 0.8236
  Batch [260/1299] D_loss: -0.4310, G_loss: 0.1202
  Batch [270/1299] D_loss: -0.2707, G_loss: -0.1640
  Batch [280/1299] D_loss: -0.1486, G_loss: -0.1492
  Batch [290/1299] D_loss: -0.1590, G_loss: 0.8687
  Batch [300/1299] D_loss: -0.2420, G_loss: -1.2496
  Batch [310/1299] D_loss: -0.1314, G_loss: 0.5505
  Batch [320/1299] D_loss: -0.2404, G_loss: 0.3240
  Batch [330/1299] D_loss: -0.1328, G_loss: -0.1973
  Batch [340/1299] D_loss: -0.3868, G_loss: 0.3684
  Batch [350/1299] D_loss: -0.3522, G_loss: -0.3570
  Batch [360/1299] D_loss: -0.1316, G_loss: 0.4740
  Batch [370/1299] D_loss: -0.0797, G_loss: 0.0640
  Batch [380/1299] D_loss: -0.2039, G_loss: 0.0969
  Batch [390/1299] D_loss: -0.5225, G_loss: 0.6531
  Batch [400/1299] D_loss: -0.1442, G_loss: 0.2211
  Batch [410/1299] D_loss: -0.1542, G_loss: -0.3232
  Batch [420/1299] D_loss: -0.3205, G_loss: 0.1027
  Batch [430/1299] D_loss: -0.6927, G_loss: -0.1230
  Batch [440/1299] D_loss: -0.1533, G_loss: 0.0946
  Batch [450/1299] D_loss: -0.5322, G_loss: 0.8166
  Batch [460/1299] D_loss: -0.2010, G_loss: 0.1353
  Batch [470/1299] D_loss: -0.2700, G_loss: 0.5772
  Batch [480/1299] D_loss: -0.3808, G_loss: -0.2357
  Batch [490/1299] D_loss: -0.2229, G_loss: 0.2734
  Batch [500/1299] D_loss: -0.0426, G_loss: -0.2185
  Batch [510/1299] D_loss: -0.3588, G_loss: 1.5418
  Batch [520/1299] D_loss: -0.3082, G_loss: -1.5264
  Batch [530/1299] D_loss: -0.3543, G_loss: 1.7647
  Batch [540/1299] D_loss: -0.4636, G_loss: -0.4777
  Batch [550/1299] D_loss: -0.2546, G_loss: 0.4202
  Batch [560/1299] D_loss: -0.6105, G_loss: -0.7161
  Batch [570/1299] D_loss: -0.4714, G_loss: 1.0077
  Batch [580/1299] D_loss: -0.3627, G_loss: 0.1340
  Batch [590/1299] D_loss: -0.1840, G_loss: -0.2301
  Batch [600/1299] D_loss: -0.1541, G_loss: 0.7708
  Batch [610/1299] D_loss: -0.2123, G_loss: -0.7198
  Batch [620/1299] D_loss: -0.5022, G_loss: 0.5448
