Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [0/1299] D_loss: -0.7218, G_loss: 0.5004
  Batch [10/1299] D_loss: -2.0769, G_loss: 1.5124
  Batch [20/1299] D_loss: -2.0532, G_loss: 1.8511
  Batch [30/1299] D_loss: -0.6816, G_loss: -0.1891
  Batch [40/1299] D_loss: -1.5830, G_loss: 0.5061
  Batch [50/1299] D_loss: -2.0133, G_loss: 0.2262
  Batch [60/1299] D_loss: -1.5099, G_loss: 0.5708
  Batch [70/1299] D_loss: -2.2564, G_loss: -0.7216
  Batch [80/1299] D_loss: -1.5234, G_loss: 0.9249
  Batch [90/1299] D_loss: -0.7501, G_loss: 1.2147
  Batch [100/1299] D_loss: -1.1590, G_loss: 0.7080
  Batch [110/1299] D_loss: -0.6572, G_loss: -2.0895
  Batch [120/1299] D_loss: -1.7128, G_loss: -3.1317
  Batch [130/1299] D_loss: -1.4169, G_loss: 0.7607
  Batch [140/1299] D_loss: -1.5687, G_loss: 0.9701
  Batch [150/1299] D_loss: -0.9465, G_loss: 0.0502
  Batch [160/1299] D_loss: -0.8098, G_loss: -0.7656
  Batch [170/1299] D_loss: -1.4835, G_loss: 1.3105
  Batch [180/1299] D_loss: -0.9246, G_loss: 1.3488
  Batch [190/1299] D_loss: -0.2601, G_loss: -2.1799
  Batch [200/1299] D_loss: -0.4980, G_loss: 2.0091
  Batch [210/1299] D_loss: -1.3520, G_loss: 1.4022
  Batch [220/1299] D_loss: -1.0502, G_loss: 0.7044
  Batch [230/1299] D_loss: -0.7797, G_loss: -1.4437
  Batch [240/1299] D_loss: -0.8639, G_loss: -0.0568
  Batch [250/1299] D_loss: -1.4028, G_loss: 0.9506
  Batch [260/1299] D_loss: -1.1151, G_loss: 2.5901
  Batch [270/1299] D_loss: -0.7962, G_loss: -1.3587
  Batch [280/1299] D_loss: -1.1075, G_loss: 0.6107
  Batch [290/1299] D_loss: -0.7711, G_loss: 0.9075
  Batch [300/1299] D_loss: -1.1787, G_loss: -0.7351
  Batch [310/1299] D_loss: -0.8917, G_loss: 0.9234
  Batch [320/1299] D_loss: -0.6640, G_loss: 0.1279
  Batch [330/1299] D_loss: -1.2031, G_loss: -0.6094
  Batch [340/1299] D_loss: -1.2466, G_loss: 1.1756
  Batch [350/1299] D_loss: -1.2001, G_loss: 0.4908
  Batch [360/1299] D_loss: -0.8686, G_loss: 0.3028
  Batch [370/1299] D_loss: -1.0568, G_loss: 0.1403
  Batch [380/1299] D_loss: -0.4277, G_loss: 0.9596
  Batch [390/1299] D_loss: -0.9278, G_loss: -0.2936
  Batch [400/1299] D_loss: -1.0634, G_loss: -0.7805
  Batch [410/1299] D_loss: -0.6951, G_loss: 1.6449
  Batch [420/1299] D_loss: -0.9091, G_loss: -1.0437
  Batch [430/1299] D_loss: -0.4913, G_loss: 0.1072
  Batch [440/1299] D_loss: -0.8718, G_loss: 0.2759
  Batch [450/1299] D_loss: -0.7462, G_loss: -0.1984
  Batch [460/1299] D_loss: -0.5084, G_loss: -0.8665
  Batch [470/1299] D_loss: -1.0083, G_loss: 0.2878
  Batch [480/1299] D_loss: -0.2539, G_loss: -0.6123
  Batch [490/1299] D_loss: -0.7181, G_loss: 0.6397
  Batch [500/1299] D_loss: -0.7305, G_loss: 0.3715
  Batch [510/1299] D_loss: -0.6049, G_loss: -0.5796
  Batch [520/1299] D_loss: -0.6069, G_loss: -1.0442
  Batch [530/1299] D_loss: -0.3946, G_loss: 0.8248
  Batch [540/1299] D_loss: -0.6503, G_loss: 0.5447
  Batch [550/1299] D_loss: -0.7047, G_loss: 0.6506
  Batch [560/1299] D_loss: -1.2893, G_loss: 0.3898
  Batch [570/1299] D_loss: -0.9327, G_loss: 0.4727
  Batch [580/1299] D_loss: -0.3439, G_loss: -1.6570
  Batch [590/1299] D_loss: -0.4796, G_loss: 1.0879
  Batch [600/1299] D_loss: -0.4414, G_loss: -0.1143
  Batch [610/1299] D_loss: -0.9979, G_loss: 0.0945
  Batch [620/1299] D_loss: -1.6388, G_loss: 0.8777
  Batch [630/1299] D_loss: -0.5942, G_loss: -0.2772
  Batch [640/1299] D_loss: -0.5182, G_loss: -0.0747
