Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [0/1299] D_loss: -0.5605, G_loss: 0.3044
  Batch [10/1299] D_loss: -2.8216, G_loss: 1.5951
  Batch [20/1299] D_loss: -2.2083, G_loss: 1.3289
  Batch [30/1299] D_loss: -2.0722, G_loss: 1.2758
  Batch [40/1299] D_loss: -1.0944, G_loss: 0.0772
  Batch [50/1299] D_loss: -1.0580, G_loss: -0.3197
  Batch [60/1299] D_loss: -0.9674, G_loss: 0.3070
  Batch [70/1299] D_loss: -1.5179, G_loss: 0.1291
  Batch [80/1299] D_loss: -0.6571, G_loss: 0.1424
  Batch [90/1299] D_loss: -1.0714, G_loss: -0.0338
  Batch [100/1299] D_loss: -1.0053, G_loss: -0.4887
  Batch [110/1299] D_loss: -1.5703, G_loss: -0.2438
  Batch [120/1299] D_loss: -1.1552, G_loss: 1.2693
  Batch [130/1299] D_loss: -1.2954, G_loss: 0.7968
  Batch [140/1299] D_loss: -1.1264, G_loss: 1.4317
  Batch [150/1299] D_loss: -0.9933, G_loss: 1.5298
  Batch [160/1299] D_loss: -0.9129, G_loss: -0.2407
  Batch [170/1299] D_loss: -0.8028, G_loss: 0.1508
  Batch [180/1299] D_loss: -0.8641, G_loss: 0.5502
  Batch [190/1299] D_loss: -0.4719, G_loss: -0.8083
  Batch [200/1299] D_loss: -0.3070, G_loss: -0.6620
  Batch [210/1299] D_loss: -0.8349, G_loss: 0.0998
  Batch [220/1299] D_loss: -0.8931, G_loss: 0.7648
  Batch [230/1299] D_loss: -0.9242, G_loss: 0.4965
  Batch [240/1299] D_loss: -0.7488, G_loss: 1.5513
  Batch [250/1299] D_loss: -0.8412, G_loss: -0.3053
  Batch [260/1299] D_loss: -0.4403, G_loss: -2.3430
  Batch [270/1299] D_loss: -0.0244, G_loss: 0.7012
  Batch [280/1299] D_loss: -0.6850, G_loss: 0.6140
  Batch [290/1299] D_loss: -1.0604, G_loss: 0.6750
  Batch [300/1299] D_loss: -0.8858, G_loss: -2.4575
  Batch [310/1299] D_loss: -0.2962, G_loss: 0.2726
  Batch [320/1299] D_loss: -0.3563, G_loss: 0.9043
  Batch [330/1299] D_loss: -0.7888, G_loss: 0.3788
  Batch [340/1299] D_loss: -1.6877, G_loss: 1.7520
  Batch [350/1299] D_loss: -0.9923, G_loss: 0.2192
  Batch [360/1299] D_loss: -1.0358, G_loss: 0.6699
  Batch [370/1299] D_loss: -0.5287, G_loss: 0.2216
  Batch [380/1299] D_loss: -1.2145, G_loss: 0.9811
  Batch [390/1299] D_loss: -0.7600, G_loss: 0.5134
  Batch [400/1299] D_loss: -1.1702, G_loss: -1.3131
  Batch [410/1299] D_loss: -0.4755, G_loss: 0.6692
  Batch [420/1299] D_loss: -0.7724, G_loss: 0.0424
  Batch [430/1299] D_loss: -0.4668, G_loss: -2.0247
  Batch [440/1299] D_loss: -0.8354, G_loss: 1.3719
  Batch [450/1299] D_loss: -0.5389, G_loss: -0.2618
  Batch [460/1299] D_loss: -1.5390, G_loss: 1.0937
  Batch [470/1299] D_loss: -1.1984, G_loss: 1.8816
  Batch [480/1299] D_loss: -0.5999, G_loss: 0.7882
  Batch [490/1299] D_loss: -0.7658, G_loss: 0.9842
  Batch [500/1299] D_loss: -0.8865, G_loss: 1.0958
  Batch [510/1299] D_loss: -0.2392, G_loss: -1.2638
  Batch [520/1299] D_loss: -0.2603, G_loss: 1.8537
  Batch [530/1299] D_loss: -0.1206, G_loss: -0.0041
  Batch [540/1299] D_loss: -1.1927, G_loss: -1.1637
  Batch [550/1299] D_loss: -1.0523, G_loss: 1.1138
  Batch [560/1299] D_loss: 0.1314, G_loss: -0.9189
  Batch [570/1299] D_loss: -1.1037, G_loss: 1.6544
  Batch [580/1299] D_loss: -0.0437, G_loss: 0.3285
  Batch [590/1299] D_loss: -0.0649, G_loss: -0.6428
  Batch [600/1299] D_loss: -0.7709, G_loss: 0.6527
  Batch [610/1299] D_loss: -1.0477, G_loss: -2.4098
