Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [0/1299] D_loss: -0.4650, G_loss: 0.9766
  Batch [10/1299] D_loss: -11.8101, G_loss: -5.3853
  Batch [20/1299] D_loss: -9.4431, G_loss: -7.2299
  Batch [30/1299] D_loss: -9.3688, G_loss: -8.2170
  Batch [40/1299] D_loss: -5.9184, G_loss: -5.2426
  Batch [50/1299] D_loss: -6.5075, G_loss: -9.0455
  Batch [60/1299] D_loss: -6.4068, G_loss: -7.1682
  Batch [70/1299] D_loss: -4.7488, G_loss: -5.1376
  Batch [80/1299] D_loss: -3.2610, G_loss: -6.4150
  Batch [90/1299] D_loss: -4.3258, G_loss: -4.0177
  Batch [100/1299] D_loss: -4.1959, G_loss: -7.8522
  Batch [110/1299] D_loss: -3.8843, G_loss: -6.2385
  Batch [120/1299] D_loss: -3.6678, G_loss: -6.3344
  Batch [130/1299] D_loss: -4.6632, G_loss: -3.0054
  Batch [140/1299] D_loss: -3.2591, G_loss: -3.4850
  Batch [150/1299] D_loss: -4.9756, G_loss: -4.9019
  Batch [160/1299] D_loss: -3.5521, G_loss: -4.1244
  Batch [170/1299] D_loss: -3.8147, G_loss: -3.0476
  Batch [180/1299] D_loss: -3.0167, G_loss: -6.7670
  Batch [190/1299] D_loss: -2.1377, G_loss: -8.2821
  Batch [200/1299] D_loss: -0.5245, G_loss: -3.8372
  Batch [210/1299] D_loss: -1.1425, G_loss: -5.6063
  Batch [220/1299] D_loss: -1.0640, G_loss: -3.5872
  Batch [230/1299] D_loss: -1.0142, G_loss: -7.2617
  Batch [240/1299] D_loss: -1.1480, G_loss: -2.7203
  Batch [250/1299] D_loss: -4.2732, G_loss: -6.4847
  Batch [260/1299] D_loss: -4.2849, G_loss: 5.0627
  Batch [270/1299] D_loss: -2.2162, G_loss: -0.6123
  Batch [280/1299] D_loss: -3.3419, G_loss: 0.4963
  Batch [290/1299] D_loss: -0.8412, G_loss: 0.8434
  Batch [300/1299] D_loss: -1.2279, G_loss: -1.0662
  Batch [310/1299] D_loss: -3.3969, G_loss: 1.1326
  Batch [320/1299] D_loss: -3.1825, G_loss: 2.1376
  Batch [330/1299] D_loss: -2.6353, G_loss: 1.5120
  Batch [340/1299] D_loss: -2.1569, G_loss: -1.1605
  Batch [350/1299] D_loss: -1.6449, G_loss: 2.4690
  Batch [360/1299] D_loss: -1.6030, G_loss: -2.7269
  Batch [370/1299] D_loss: -0.1098, G_loss: -1.4724
  Batch [380/1299] D_loss: -3.5206, G_loss: 3.7806
  Batch [390/1299] D_loss: -3.0054, G_loss: 1.3487
  Batch [400/1299] D_loss: -2.3406, G_loss: -3.0373
  Batch [410/1299] D_loss: -3.7911, G_loss: 1.9272
  Batch [420/1299] D_loss: -2.4971, G_loss: 1.4999
  Batch [430/1299] D_loss: -2.9161, G_loss: -0.1220
  Batch [440/1299] D_loss: -2.5042, G_loss: 1.3410
  Batch [450/1299] D_loss: -2.7289, G_loss: 0.2807
  Batch [460/1299] D_loss: -3.8174, G_loss: 1.3504
  Batch [470/1299] D_loss: -3.1710, G_loss: -1.7531
  Batch [480/1299] D_loss: -3.9017, G_loss: 1.7063
  Batch [490/1299] D_loss: -3.9994, G_loss: -1.7488
  Batch [500/1299] D_loss: -4.5097, G_loss: -0.7771
  Batch [510/1299] D_loss: -5.3551, G_loss: 2.7365
  Batch [520/1299] D_loss: -3.5358, G_loss: 2.2454
  Batch [530/1299] D_loss: -1.2509, G_loss: -1.9360
  Batch [540/1299] D_loss: -3.9429, G_loss: -1.4926
  Batch [550/1299] D_loss: -3.6416, G_loss: 3.4974
  Batch [560/1299] D_loss: -1.9640, G_loss: 3.3821
  Batch [570/1299] D_loss: -2.4300, G_loss: -1.8493
  Batch [580/1299] D_loss: -3.9249, G_loss: -0.9702
  Batch [590/1299] D_loss: -3.3194, G_loss: 0.8939
  Batch [600/1299] D_loss: -3.0280, G_loss: 1.0858
  Batch [610/1299] D_loss: -1.6316, G_loss: -1.9589
  Batch [620/1299] D_loss: -3.6679, G_loss: 1.4273
  Batch [630/1299] D_loss: -1.3939, G_loss: -2.1917
  Batch [640/1299] D_loss: -2.2204, G_loss: -2.4183
  Batch [650/1299] D_loss: -3.3980, G_loss: -1.1532
  Batch [660/1299] D_loss: -1.0040, G_loss: -1.4564
  Batch [670/1299] D_loss: -1.9817, G_loss: -0.0056
  Batch [680/1299] D_loss: -1.6902, G_loss: -0.0349
  Batch [690/1299] D_loss: -1.2950, G_loss: -2.5919
  Batch [700/1299] D_loss: -1.5147, G_loss: -1.1987
  Batch [710/1299] D_loss: -3.2774, G_loss: 0.4108
  Batch [720/1299] D_loss: -3.1277, G_loss: 0.3541
  Batch [730/1299] D_loss: -1.3562, G_loss: -0.2756
  Batch [740/1299] D_loss: -2.7243, G_loss: 2.1029
  Batch [750/1299] D_loss: -2.2019, G_loss: 0.7332
  Batch [760/1299] D_loss: -2.1724, G_loss: -1.7974
  Batch [770/1299] D_loss: -2.4008, G_loss: -0.3573
  Batch [780/1299] D_loss: -3.8510, G_loss: -1.9625
  Batch [790/1299] D_loss: -3.4020, G_loss: 0.5438
  Batch [800/1299] D_loss: -4.1160, G_loss: -0.6736
  Batch [810/1299] D_loss: -2.2485, G_loss: 0.4441
  Batch [820/1299] D_loss: -2.3384, G_loss: 1.4854
  Batch [830/1299] D_loss: -2.9489, G_loss: -3.4255
  Batch [840/1299] D_loss: -1.4849, G_loss: -0.9666
  Batch [850/1299] D_loss: -4.0127, G_loss: 2.5806
  Batch [860/1299] D_loss: -3.4433, G_loss: -1.0620
  Batch [870/1299] D_loss: -0.8844, G_loss: -0.4514
  Batch [880/1299] D_loss: -3.2236, G_loss: -2.5465
  Batch [890/1299] D_loss: -3.4279, G_loss: -1.8398
  Batch [900/1299] D_loss: -3.9259, G_loss: 1.6268
  Batch [910/1299] D_loss: -3.5706, G_loss: 0.2939
  Batch [920/1299] D_loss: -2.8745, G_loss: 0.6541
  Batch [930/1299] D_loss: -2.9705, G_loss: 1.6706
  Batch [940/1299] D_loss: -4.2833, G_loss: 0.1664
  Batch [950/1299] D_loss: -3.5573, G_loss: -0.1666
  Batch [960/1299] D_loss: -4.2006, G_loss: 4.3129
  Batch [970/1299] D_loss: -2.8800, G_loss: -2.0116
  Batch [980/1299] D_loss: -2.4140, G_loss: 0.1261
  Batch [990/1299] D_loss: -4.0729, G_loss: -4.9118
  Batch [1000/1299] D_loss: -2.1163, G_loss: 2.2492
  Batch [1010/1299] D_loss: -3.0530, G_loss: -0.0666
  Batch [1020/1299] D_loss: -3.3753, G_loss: 2.9966
  Batch [1030/1299] D_loss: -4.2039, G_loss: -0.8926
  Batch [1040/1299] D_loss: -1.7152, G_loss: -1.5136
  Batch [1050/1299] D_loss: -3.8314, G_loss: -1.6201
  Batch [1060/1299] D_loss: -4.0828, G_loss: 3.8329
  Batch [1070/1299] D_loss: -3.1613, G_loss: 3.2854
  Batch [1080/1299] D_loss: -1.9366, G_loss: 2.4372
  Batch [1090/1299] D_loss: -3.2451, G_loss: 2.3290
  Batch [1100/1299] D_loss: -3.3269, G_loss: -4.1753
  Batch [1110/1299] D_loss: -2.9625, G_loss: 2.2621
  Batch [1120/1299] D_loss: -2.4629, G_loss: -0.4858
  Batch [1130/1299] D_loss: -2.0639, G_loss: 0.3229
  Batch [1140/1299] D_loss: -2.9327, G_loss: -1.9877
  Batch [1150/1299] D_loss: -1.7217, G_loss: -0.0993
  Batch [1160/1299] D_loss: -2.2478, G_loss: -0.0859
  Batch [1170/1299] D_loss: -3.2546, G_loss: -0.2666
  Batch [1180/1299] D_loss: -3.0475, G_loss: 0.4991
  Batch [1190/1299] D_loss: -0.7456, G_loss: 2.0313
  Batch [1200/1299] D_loss: -3.5421, G_loss: -1.4020
  Batch [1210/1299] D_loss: -3.1609, G_loss: 0.5544
  Batch [1220/1299] D_loss: -2.7013, G_loss: -0.8402
  Batch [1230/1299] D_loss: -1.5653, G_loss: 1.3598
  Batch [1240/1299] D_loss: -4.2148, G_loss: 0.1242
  Batch [1250/1299] D_loss: -2.8473, G_loss: -1.7773
  Batch [1260/1299] D_loss: -1.5314, G_loss: -1.9946
  Batch [1270/1299] D_loss: -1.9531, G_loss: -0.1516
  Batch [1280/1299] D_loss: -4.3022, G_loss: 2.2756
  Batch [1290/1299] D_loss: -3.1607, G_loss: 0.6392

Epoch 1 Summary:
  Average D_loss: -2.9655
  Average G_loss: -1.1891

Models saved at epoch 1:
Generator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/20_1_2025__normalized/saved_models/run_20250121_121949_dataset+cell_type/generator_20250121_121949_dataset+cell_type_epoch_1.pt
Discriminator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/20_1_2025__normalized/saved_models/run_20250121_121949_dataset+cell_type/discriminator_20250121_121949_dataset+cell_type_epoch_1.pt
[34m[1mwandb[0m: [33mWARNING[0m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")

Epoch [2/100]
  Batch [0/1299] D_loss: -2.1918, G_loss: 0.3683
  Batch [10/1299] D_loss: -3.2372, G_loss: -1.5384
  Batch [20/1299] D_loss: -2.7977, G_loss: -0.4146
  Batch [30/1299] D_loss: -4.1501, G_loss: -1.4355
  Batch [40/1299] D_loss: -3.3868, G_loss: 1.7798
  Batch [50/1299] D_loss: -4.0314, G_loss: -0.5715
  Batch [60/1299] D_loss: -2.1887, G_loss: 0.4195
  Batch [70/1299] D_loss: -3.9844, G_loss: 1.5717
  Batch [80/1299] D_loss: -2.6740, G_loss: -1.4374
  Batch [90/1299] D_loss: -3.8382, G_loss: -0.7443
  Batch [100/1299] D_loss: -3.1587, G_loss: -2.2567
  Batch [110/1299] D_loss: -4.0568, G_loss: 2.4820
  Batch [120/1299] D_loss: -3.1248, G_loss: -1.4262
  Batch [130/1299] D_loss: -4.4049, G_loss: -0.6459
  Batch [140/1299] D_loss: -3.2565, G_loss: 0.9591
  Batch [150/1299] D_loss: -3.7284, G_loss: 0.3848
  Batch [160/1299] D_loss: -4.2837, G_loss: 0.3409
  Batch [170/1299] D_loss: -3.8678, G_loss: -0.7627
  Batch [180/1299] D_loss: -4.5067, G_loss: -2.6422
  Batch [190/1299] D_loss: -1.6782, G_loss: -0.2298
  Batch [200/1299] D_loss: -3.5982, G_loss: 1.6361
  Batch [210/1299] D_loss: -2.3181, G_loss: -3.4237
  Batch [220/1299] D_loss: -3.9540, G_loss: -0.2115
  Batch [230/1299] D_loss: -4.4290, G_loss: -0.2743
  Batch [240/1299] D_loss: -2.4312, G_loss: 2.2807
  Batch [250/1299] D_loss: -3.3035, G_loss: 1.0000
  Batch [260/1299] D_loss: -2.4617, G_loss: 0.4927
  Batch [270/1299] D_loss: -3.8998, G_loss: 0.4380
  Batch [280/1299] D_loss: -3.0366, G_loss: 0.2376
  Batch [290/1299] D_loss: -2.2756, G_loss: 0.7484
  Batch [300/1299] D_loss: -2.8639, G_loss: -0.0732
  Batch [310/1299] D_loss: -2.8801, G_loss: -0.0368
  Batch [320/1299] D_loss: -2.3451, G_loss: 1.3030
  Batch [330/1299] D_loss: -3.1672, G_loss: -1.5118
  Batch [340/1299] D_loss: -2.9621, G_loss: 0.1627
  Batch [350/1299] D_loss: -2.8548, G_loss: -2.1327
  Batch [360/1299] D_loss: -1.8638, G_loss: 0.2811
  Batch [370/1299] D_loss: -2.6490, G_loss: 3.9940
  Batch [380/1299] D_loss: -3.0173, G_loss: 0.7469
  Batch [390/1299] D_loss: -2.7937, G_loss: -0.2736
  Batch [400/1299] D_loss: -2.5226, G_loss: -0.1736
  Batch [410/1299] D_loss: -3.0766, G_loss: 2.3111
  Batch [420/1299] D_loss: -3.9404, G_loss: -1.4047
  Batch [430/1299] D_loss: -2.9352, G_loss: -0.7880
  Batch [440/1299] D_loss: -3.2534, G_loss: 0.6083
  Batch [450/1299] D_loss: -4.2230, G_loss: 1.0016
  Batch [460/1299] D_loss: -2.5527, G_loss: 0.5715
  Batch [470/1299] D_loss: -3.0225, G_loss: -1.5280
  Batch [480/1299] D_loss: -2.6423, G_loss: 1.7759
  Batch [490/1299] D_loss: -3.4608, G_loss: 0.6232
  Batch [500/1299] D_loss: -3.9461, G_loss: -0.1768
  Batch [510/1299] D_loss: -1.9118, G_loss: 0.0956
  Batch [520/1299] D_loss: -3.7937, G_loss: 1.5938
  Batch [530/1299] D_loss: -4.2919, G_loss: -2.7612
  Batch [540/1299] D_loss: -2.4239, G_loss: -1.7594
  Batch [550/1299] D_loss: -2.9271, G_loss: 1.3352
  Batch [560/1299] D_loss: -3.6271, G_loss: -0.9629
  Batch [570/1299] D_loss: -3.3705, G_loss: -2.0648
  Batch [580/1299] D_loss: -2.6147, G_loss: 0.0061
  Batch [590/1299] D_loss: -3.3497, G_loss: 1.1231
  Batch [600/1299] D_loss: -3.0783, G_loss: 1.2815
  Batch [610/1299] D_loss: -2.7302, G_loss: -3.7665
  Batch [620/1299] D_loss: -2.6086, G_loss: 1.1551
  Batch [630/1299] D_loss: -4.9474, G_loss: -1.0094
  Batch [640/1299] D_loss: -4.0554, G_loss: -1.0384
  Batch [650/1299] D_loss: -2.7269, G_loss: 2.2729
  Batch [660/1299] D_loss: -2.9487, G_loss: 2.4432
  Batch [670/1299] D_loss: -3.2509, G_loss: -0.9230
  Batch [680/1299] D_loss: -3.3005, G_loss: -1.6020
  Batch [690/1299] D_loss: -1.8461, G_loss: -1.3016
  Batch [700/1299] D_loss: -4.0711, G_loss: -0.6108
  Batch [710/1299] D_loss: -4.1864, G_loss: 3.3655
  Batch [720/1299] D_loss: -3.2752, G_loss: 0.0085
  Batch [730/1299] D_loss: -3.4381, G_loss: -3.2198
  Batch [740/1299] D_loss: -2.0600, G_loss: -0.0807
  Batch [750/1299] D_loss: -3.5850, G_loss: 0.4836
  Batch [760/1299] D_loss: -4.0693, G_loss: -2.6007
  Batch [770/1299] D_loss: -3.1521, G_loss: 0.3081
  Batch [780/1299] D_loss: -3.0089, G_loss: -0.0227
  Batch [790/1299] D_loss: -2.3380, G_loss: 0.4604
  Batch [800/1299] D_loss: -3.2015, G_loss: 1.3105
  Batch [810/1299] D_loss: -3.3720, G_loss: 0.1700
  Batch [820/1299] D_loss: -4.1490, G_loss: -1.5543
  Batch [830/1299] D_loss: -2.7878, G_loss: -0.7266
  Batch [840/1299] D_loss: -3.1278, G_loss: -0.2707
  Batch [850/1299] D_loss: -4.3792, G_loss: 1.6357
  Batch [860/1299] D_loss: -2.0648, G_loss: 1.4721
  Batch [870/1299] D_loss: -2.7993, G_loss: 2.1789
  Batch [880/1299] D_loss: -4.2591, G_loss: -0.2227
  Batch [890/1299] D_loss: -3.4782, G_loss: 0.0014
  Batch [900/1299] D_loss: -1.7879, G_loss: -2.1524
  Batch [910/1299] D_loss: -3.5312, G_loss: -1.8288
  Batch [920/1299] D_loss: -4.0434, G_loss: 1.4198
  Batch [930/1299] D_loss: -3.8025, G_loss: 1.3170
  Batch [940/1299] D_loss: -3.5053, G_loss: -1.5094
  Batch [950/1299] D_loss: -3.1805, G_loss: -2.2973
  Batch [960/1299] D_loss: -3.1107, G_loss: 1.3686
