Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps
Using negative detector: True

Epoch [1/100]
  Batch [0/1299] D_loss: 0.7622, G_loss: 1.4743, Neg_prop: 0.503, Neg_mag: 0.165
  Batch [10/1299] D_loss: -11.7665, G_loss: -5.1115, Neg_prop: 0.320, Neg_mag: 0.074
  Batch [20/1299] D_loss: -8.8861, G_loss: -4.1420, Neg_prop: 0.282, Neg_mag: 0.064
  Batch [30/1299] D_loss: -8.9777, G_loss: -7.9848, Neg_prop: 0.271, Neg_mag: 0.061
  Batch [40/1299] D_loss: -7.5850, G_loss: -5.6591, Neg_prop: 0.285, Neg_mag: 0.065
  Batch [50/1299] D_loss: -6.2888, G_loss: -7.4412, Neg_prop: 0.278, Neg_mag: 0.063
  Batch [60/1299] D_loss: -5.3291, G_loss: -5.8952, Neg_prop: 0.274, Neg_mag: 0.063
  Batch [70/1299] D_loss: -4.9320, G_loss: -4.3500, Neg_prop: 0.283, Neg_mag: 0.065
  Batch [80/1299] D_loss: -6.5805, G_loss: -5.3498, Neg_prop: 0.255, Neg_mag: 0.058
  Batch [90/1299] D_loss: -5.9077, G_loss: -5.7959, Neg_prop: 0.271, Neg_mag: 0.063
  Batch [100/1299] D_loss: -4.8150, G_loss: -5.9562, Neg_prop: 0.283, Neg_mag: 0.066
  Batch [110/1299] D_loss: -4.2944, G_loss: -5.9129, Neg_prop: 0.277, Neg_mag: 0.064
  Batch [120/1299] D_loss: -5.0167, G_loss: -3.9997, Neg_prop: 0.260, Neg_mag: 0.060
  Batch [130/1299] D_loss: -6.0173, G_loss: -5.7496, Neg_prop: 0.274, Neg_mag: 0.063
  Batch [140/1299] D_loss: -4.6269, G_loss: -5.5433, Neg_prop: 0.274, Neg_mag: 0.063
  Batch [150/1299] D_loss: -3.7730, G_loss: -3.2549, Neg_prop: 0.277, Neg_mag: 0.065
  Batch [160/1299] D_loss: -5.3061, G_loss: -7.1259, Neg_prop: 0.266, Neg_mag: 0.061
  Batch [170/1299] D_loss: -5.7005, G_loss: -5.2661, Neg_prop: 0.279, Neg_mag: 0.066
  Batch [180/1299] D_loss: -2.9130, G_loss: -11.0481, Neg_prop: 0.290, Neg_mag: 0.069
  Batch [190/1299] D_loss: -3.6684, G_loss: -3.6381, Neg_prop: 0.296, Neg_mag: 0.071
  Batch [200/1299] D_loss: -2.0206, G_loss: -4.5919, Neg_prop: 0.304, Neg_mag: 0.073
  Batch [210/1299] D_loss: -1.6438, G_loss: -6.2445, Neg_prop: 0.303, Neg_mag: 0.074
  Batch [220/1299] D_loss: -3.2983, G_loss: -7.1435, Neg_prop: 0.299, Neg_mag: 0.071
  Batch [230/1299] D_loss: -2.9141, G_loss: -6.2768, Neg_prop: 0.281, Neg_mag: 0.064
  Batch [240/1299] D_loss: -0.9144, G_loss: -3.2189, Neg_prop: 0.295, Neg_mag: 0.066
  Batch [250/1299] D_loss: -2.1279, G_loss: -0.5013, Neg_prop: 0.291, Neg_mag: 0.064
  Batch [260/1299] D_loss: 0.0318, G_loss: -3.8972, Neg_prop: 0.290, Neg_mag: 0.064
  Batch [270/1299] D_loss: -1.3962, G_loss: -2.0803, Neg_prop: 0.278, Neg_mag: 0.059
  Batch [280/1299] D_loss: -1.5279, G_loss: -1.6725, Neg_prop: 0.281, Neg_mag: 0.060
  Batch [290/1299] D_loss: -0.8027, G_loss: -4.1044, Neg_prop: 0.266, Neg_mag: 0.054
  Batch [300/1299] D_loss: -3.3059, G_loss: 1.4023, Neg_prop: 0.266, Neg_mag: 0.054
  Batch [310/1299] D_loss: -3.1418, G_loss: 1.1194, Neg_prop: 0.283, Neg_mag: 0.058
  Batch [320/1299] D_loss: -3.0793, G_loss: 1.4124, Neg_prop: 0.267, Neg_mag: 0.054
  Batch [330/1299] D_loss: -3.4206, G_loss: -0.2284, Neg_prop: 0.272, Neg_mag: 0.056
  Batch [340/1299] D_loss: -1.6669, G_loss: 2.8290, Neg_prop: 0.280, Neg_mag: 0.059
  Batch [350/1299] D_loss: -4.3779, G_loss: 1.4794, Neg_prop: 0.273, Neg_mag: 0.058
  Batch [360/1299] D_loss: -3.4179, G_loss: -3.2411, Neg_prop: 0.266, Neg_mag: 0.056
  Batch [370/1299] D_loss: -3.3837, G_loss: 4.1415, Neg_prop: 0.294, Neg_mag: 0.061
  Batch [380/1299] D_loss: -3.1291, G_loss: -0.3945, Neg_prop: 0.272, Neg_mag: 0.054
  Batch [390/1299] D_loss: -2.4574, G_loss: -0.1840, Neg_prop: 0.282, Neg_mag: 0.058
  Batch [400/1299] D_loss: -2.2208, G_loss: -2.4920, Neg_prop: 0.279, Neg_mag: 0.058
  Batch [410/1299] D_loss: -3.8957, G_loss: -2.6253, Neg_prop: 0.278, Neg_mag: 0.057
  Batch [420/1299] D_loss: -3.1133, G_loss: 2.8292, Neg_prop: 0.277, Neg_mag: 0.056
  Batch [430/1299] D_loss: -1.5773, G_loss: 0.2352, Neg_prop: 0.279, Neg_mag: 0.057
  Batch [440/1299] D_loss: -2.8071, G_loss: 0.2573, Neg_prop: 0.285, Neg_mag: 0.059
  Batch [450/1299] D_loss: -5.7174, G_loss: -3.6631, Neg_prop: 0.287, Neg_mag: 0.059
  Batch [460/1299] D_loss: -3.3834, G_loss: -1.1186, Neg_prop: 0.283, Neg_mag: 0.057
  Batch [470/1299] D_loss: -3.2592, G_loss: -0.6385, Neg_prop: 0.281, Neg_mag: 0.056
  Batch [480/1299] D_loss: -3.5569, G_loss: -0.7056, Neg_prop: 0.269, Neg_mag: 0.054
  Batch [490/1299] D_loss: -2.9034, G_loss: 0.0535, Neg_prop: 0.279, Neg_mag: 0.057
  Batch [500/1299] D_loss: -2.2165, G_loss: -2.5715, Neg_prop: 0.285, Neg_mag: 0.057
  Batch [510/1299] D_loss: -2.6303, G_loss: -0.5463, Neg_prop: 0.280, Neg_mag: 0.055
  Batch [520/1299] D_loss: -3.8819, G_loss: -0.7119, Neg_prop: 0.277, Neg_mag: 0.056
  Batch [530/1299] D_loss: -3.2050, G_loss: 0.0297, Neg_prop: 0.279, Neg_mag: 0.056
  Batch [540/1299] D_loss: -3.3953, G_loss: -1.8384, Neg_prop: 0.274, Neg_mag: 0.054
  Batch [550/1299] D_loss: -3.1374, G_loss: -0.0234, Neg_prop: 0.275, Neg_mag: 0.053
  Batch [560/1299] D_loss: -2.9172, G_loss: -2.2159, Neg_prop: 0.290, Neg_mag: 0.057
  Batch [570/1299] D_loss: -3.1700, G_loss: 3.1029, Neg_prop: 0.274, Neg_mag: 0.054
  Batch [580/1299] D_loss: -2.6031, G_loss: -1.4717, Neg_prop: 0.261, Neg_mag: 0.050
  Batch [590/1299] D_loss: -2.6045, G_loss: 0.5241, Neg_prop: 0.283, Neg_mag: 0.054
  Batch [600/1299] D_loss: -1.3600, G_loss: 3.5228, Neg_prop: 0.286, Neg_mag: 0.055
  Batch [610/1299] D_loss: -3.5633, G_loss: -0.9866, Neg_prop: 0.290, Neg_mag: 0.058
  Batch [620/1299] D_loss: -1.6727, G_loss: -2.0733, Neg_prop: 0.270, Neg_mag: 0.051
  Batch [630/1299] D_loss: -2.0939, G_loss: -3.7420, Neg_prop: 0.282, Neg_mag: 0.055
  Batch [640/1299] D_loss: -2.9630, G_loss: -0.0961, Neg_prop: 0.293, Neg_mag: 0.057
  Batch [650/1299] D_loss: -1.7421, G_loss: 1.5246, Neg_prop: 0.274, Neg_mag: 0.053
  Batch [660/1299] D_loss: -3.2856, G_loss: 1.4912, Neg_prop: 0.292, Neg_mag: 0.057
  Batch [670/1299] D_loss: -2.4213, G_loss: -0.5365, Neg_prop: 0.271, Neg_mag: 0.051
  Batch [680/1299] D_loss: -2.7431, G_loss: -1.6669, Neg_prop: 0.272, Neg_mag: 0.051
  Batch [690/1299] D_loss: -2.9667, G_loss: -0.7048, Neg_prop: 0.283, Neg_mag: 0.054
  Batch [700/1299] D_loss: -3.4862, G_loss: -2.2524, Neg_prop: 0.279, Neg_mag: 0.053
  Batch [710/1299] D_loss: -3.2054, G_loss: -5.8797, Neg_prop: 0.268, Neg_mag: 0.050
  Batch [720/1299] D_loss: -2.8455, G_loss: -3.5546, Neg_prop: 0.269, Neg_mag: 0.051
  Batch [730/1299] D_loss: -1.5408, G_loss: 3.3129, Neg_prop: 0.285, Neg_mag: 0.055
  Batch [740/1299] D_loss: -2.2362, G_loss: 1.1368, Neg_prop: 0.282, Neg_mag: 0.053
  Batch [750/1299] D_loss: -2.3316, G_loss: 0.6206, Neg_prop: 0.285, Neg_mag: 0.054
  Batch [760/1299] D_loss: -3.1181, G_loss: -1.8905, Neg_prop: 0.279, Neg_mag: 0.052
  Batch [770/1299] D_loss: -2.2852, G_loss: 4.0231, Neg_prop: 0.286, Neg_mag: 0.054
  Batch [780/1299] D_loss: -2.1846, G_loss: -0.6302, Neg_prop: 0.275, Neg_mag: 0.050
  Batch [790/1299] D_loss: -2.7694, G_loss: 0.5240, Neg_prop: 0.286, Neg_mag: 0.052
  Batch [800/1299] D_loss: -2.3695, G_loss: 2.4900, Neg_prop: 0.289, Neg_mag: 0.055
  Batch [810/1299] D_loss: -2.8163, G_loss: -0.3768, Neg_prop: 0.285, Neg_mag: 0.053
  Batch [820/1299] D_loss: -2.4281, G_loss: 2.3538, Neg_prop: 0.289, Neg_mag: 0.055
  Batch [830/1299] D_loss: -2.8528, G_loss: -1.5582, Neg_prop: 0.283, Neg_mag: 0.053
  Batch [840/1299] D_loss: -2.6187, G_loss: -2.1889, Neg_prop: 0.290, Neg_mag: 0.054
  Batch [850/1299] D_loss: -3.2905, G_loss: 1.8877, Neg_prop: 0.276, Neg_mag: 0.050
  Batch [860/1299] D_loss: -1.1710, G_loss: 2.3976, Neg_prop: 0.290, Neg_mag: 0.054
  Batch [870/1299] D_loss: -3.7892, G_loss: -1.6778, Neg_prop: 0.280, Neg_mag: 0.051
  Batch [880/1299] D_loss: -3.0114, G_loss: 1.6166, Neg_prop: 0.273, Neg_mag: 0.050
  Batch [890/1299] D_loss: -2.3126, G_loss: -0.3284, Neg_prop: 0.287, Neg_mag: 0.054
  Batch [900/1299] D_loss: -4.0713, G_loss: 3.1349, Neg_prop: 0.284, Neg_mag: 0.052
  Batch [910/1299] D_loss: -1.8048, G_loss: 1.2623, Neg_prop: 0.283, Neg_mag: 0.052
  Batch [920/1299] D_loss: -1.5198, G_loss: -1.0291, Neg_prop: 0.290, Neg_mag: 0.054
  Batch [930/1299] D_loss: -3.8872, G_loss: -1.7661, Neg_prop: 0.272, Neg_mag: 0.050
  Batch [940/1299] D_loss: -2.9986, G_loss: 2.5273, Neg_prop: 0.286, Neg_mag: 0.053
  Batch [950/1299] D_loss: -3.6283, G_loss: -1.5343, Neg_prop: 0.279, Neg_mag: 0.050
  Batch [960/1299] D_loss: -2.5775, G_loss: -3.7440, Neg_prop: 0.280, Neg_mag: 0.051
  Batch [970/1299] D_loss: -2.5128, G_loss: 1.4814, Neg_prop: 0.271, Neg_mag: 0.049
  Batch [980/1299] D_loss: -2.8733, G_loss: 1.3679, Neg_prop: 0.287, Neg_mag: 0.053
  Batch [990/1299] D_loss: -2.6966, G_loss: 1.7829, Neg_prop: 0.293, Neg_mag: 0.055
  Batch [1000/1299] D_loss: -2.8501, G_loss: -3.5532, Neg_prop: 0.284, Neg_mag: 0.052
  Batch [1010/1299] D_loss: -1.9684, G_loss: -0.7839, Neg_prop: 0.270, Neg_mag: 0.049
  Batch [1020/1299] D_loss: -3.0761, G_loss: -0.9923, Neg_prop: 0.283, Neg_mag: 0.051
  Batch [1030/1299] D_loss: -3.4999, G_loss: -2.1559, Neg_prop: 0.281, Neg_mag: 0.052
  Batch [1040/1299] D_loss: -3.7956, G_loss: 0.6421, Neg_prop: 0.274, Neg_mag: 0.049
  Batch [1050/1299] D_loss: -2.9328, G_loss: -0.1102, Neg_prop: 0.283, Neg_mag: 0.052
  Batch [1060/1299] D_loss: -3.5707, G_loss: 0.3340, Neg_prop: 0.277, Neg_mag: 0.050
  Batch [1070/1299] D_loss: -3.0681, G_loss: 1.2175, Neg_prop: 0.287, Neg_mag: 0.053
  Batch [1080/1299] D_loss: -3.3099, G_loss: 1.2294, Neg_prop: 0.280, Neg_mag: 0.051
  Batch [1090/1299] D_loss: -4.1819, G_loss: 0.2557, Neg_prop: 0.274, Neg_mag: 0.051
  Batch [1100/1299] D_loss: -2.3737, G_loss: -0.1680, Neg_prop: 0.279, Neg_mag: 0.049
  Batch [1110/1299] D_loss: -2.1243, G_loss: -1.2797, Neg_prop: 0.287, Neg_mag: 0.054
  Batch [1120/1299] D_loss: -3.2959, G_loss: -0.1878, Neg_prop: 0.283, Neg_mag: 0.051
  Batch [1130/1299] D_loss: -2.6600, G_loss: -0.8606, Neg_prop: 0.282, Neg_mag: 0.052
  Batch [1140/1299] D_loss: -2.4761, G_loss: 0.7709, Neg_prop: 0.283, Neg_mag: 0.051
  Batch [1150/1299] D_loss: -2.3403, G_loss: 0.6352, Neg_prop: 0.295, Neg_mag: 0.054
  Batch [1160/1299] D_loss: -1.9937, G_loss: 0.3490, Neg_prop: 0.293, Neg_mag: 0.053
  Batch [1170/1299] D_loss: -3.4057, G_loss: -4.7936, Neg_prop: 0.281, Neg_mag: 0.050
  Batch [1180/1299] D_loss: -3.5188, G_loss: 2.0541, Neg_prop: 0.282, Neg_mag: 0.050
  Batch [1190/1299] D_loss: -2.8423, G_loss: 1.6267, Neg_prop: 0.293, Neg_mag: 0.053
  Batch [1200/1299] D_loss: -3.4390, G_loss: -0.8503, Neg_prop: 0.293, Neg_mag: 0.052
  Batch [1210/1299] D_loss: -4.0346, G_loss: -1.1853, Neg_prop: 0.276, Neg_mag: 0.051
  Batch [1220/1299] D_loss: -4.1479, G_loss: -2.8622, Neg_prop: 0.276, Neg_mag: 0.049
  Batch [1230/1299] D_loss: -2.6553, G_loss: 1.3048, Neg_prop: 0.287, Neg_mag: 0.052
  Batch [1240/1299] D_loss: -2.6709, G_loss: 1.3587, Neg_prop: 0.278, Neg_mag: 0.049
  Batch [1250/1299] D_loss: -3.0722, G_loss: -2.0149, Neg_prop: 0.282, Neg_mag: 0.050
  Batch [1260/1299] D_loss: -4.6271, G_loss: 1.8881, Neg_prop: 0.282, Neg_mag: 0.051
  Batch [1270/1299] D_loss: -3.2626, G_loss: 1.2588, Neg_prop: 0.288, Neg_mag: 0.052
  Batch [1280/1299] D_loss: -2.4762, G_loss: -1.3087, Neg_prop: 0.281, Neg_mag: 0.051
  Batch [1290/1299] D_loss: -1.8751, G_loss: 0.9190, Neg_prop: 0.280, Neg_mag: 0.051

Epoch 1 Summary:
  Average D_loss: -3.0965
  Average G_loss: -1.0999

Models saved at epoch 1:
Generator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/20_1_2025__normalized/saved_models/run_20250127_114540_dataset+cell_type/generator_20250127_114540_dataset+cell_type_epoch_1.pt
Discriminator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/20_1_2025__normalized/saved_models/run_20250127_114540_dataset+cell_type/discriminator_20250127_114540_dataset+cell_type_epoch_1.pt
[34m[1mwandb[0m: [33mWARNING[0m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")

Epoch [2/100]
  Batch [0/1299] D_loss: -2.6939, G_loss: 0.8361, Neg_prop: 0.293, Neg_mag: 0.052
  Batch [10/1299] D_loss: -3.2651, G_loss: -0.8899, Neg_prop: 0.281, Neg_mag: 0.050
  Batch [20/1299] D_loss: -3.2812, G_loss: 1.9188, Neg_prop: 0.290, Neg_mag: 0.053
  Batch [30/1299] D_loss: -3.7987, G_loss: -3.7981, Neg_prop: 0.279, Neg_mag: 0.050
  Batch [40/1299] D_loss: -1.2283, G_loss: 0.0126, Neg_prop: 0.285, Neg_mag: 0.051
  Batch [50/1299] D_loss: -2.4816, G_loss: 0.6175, Neg_prop: 0.285, Neg_mag: 0.051
  Batch [60/1299] D_loss: -2.5276, G_loss: -0.4063, Neg_prop: 0.276, Neg_mag: 0.049
  Batch [70/1299] D_loss: -2.0578, G_loss: -0.0839, Neg_prop: 0.276, Neg_mag: 0.049
  Batch [80/1299] D_loss: -4.1924, G_loss: 2.7730, Neg_prop: 0.281, Neg_mag: 0.050
  Batch [90/1299] D_loss: -3.0613, G_loss: 0.8759, Neg_prop: 0.290, Neg_mag: 0.052
  Batch [100/1299] D_loss: -4.3988, G_loss: -1.2203, Neg_prop: 0.276, Neg_mag: 0.048
  Batch [110/1299] D_loss: -2.6148, G_loss: -0.7079, Neg_prop: 0.282, Neg_mag: 0.050
  Batch [120/1299] D_loss: -4.5092, G_loss: -0.3703, Neg_prop: 0.270, Neg_mag: 0.047
  Batch [130/1299] D_loss: -3.2114, G_loss: 2.5215, Neg_prop: 0.280, Neg_mag: 0.050
  Batch [140/1299] D_loss: -2.3874, G_loss: 3.9384, Neg_prop: 0.276, Neg_mag: 0.048
  Batch [150/1299] D_loss: -2.8055, G_loss: 1.1760, Neg_prop: 0.283, Neg_mag: 0.050
  Batch [160/1299] D_loss: -3.9052, G_loss: 0.8489, Neg_prop: 0.289, Neg_mag: 0.051
  Batch [170/1299] D_loss: -3.1232, G_loss: -2.2258, Neg_prop: 0.272, Neg_mag: 0.047
  Batch [180/1299] D_loss: -2.5519, G_loss: 2.1147, Neg_prop: 0.287, Neg_mag: 0.050
